City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
171,Cayenne,GF,4.9333,-52.3333,80.1,1,0,0.0,clear sky,Hôtel Le Dronmi
172,Richards Bay,ZA,-28.783,32.0377,67.68,68,3,15.08,clear sky,BON Hotel Waterfront Richards Bay
173,Port Hedland,AU,-20.3167,118.5667,78.85,22,27,20.71,scattered clouds,The Esplanade Hotel
175,Linxia,CN,35.6003,103.2064,81.28,60,91,2.84,overcast clouds,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
176,Kampot,KH,10.6167,104.1833,86.05,66,80,7.58,broken clouds,Two Moons Hotel
177,Tayu,ID,-6.5397,111.0518,87.13,60,29,8.08,scattered clouds,Toko pakaian bu is Tayu
178,Zhanaozen,KZ,43.3,52.8,82.69,23,0,10.07,clear sky,K.korabay 28A
180,Dauphin,CA,51.1494,-100.0502,62.74,100,75,3.44,broken clouds,Canway Inn & Suites
181,Camacha,PT,33.0833,-16.3333,67.42,78,20,5.75,few clouds,Hotel Porto Santo & Spa
182,Sulangan,PH,11.1373,123.7228,83.8,68,42,4.07,scattered clouds,Maia's Beach Resort
184,Lumby,CA,50.2498,-118.969,75.79,46,83,3.44,broken clouds,Twin Creeks Motel
187,Birjand,IR,32.8663,59.2211,70.27,21,0,9.22,clear sky,Birjand Tourist Hotel
188,Meulaboh,ID,4.1363,96.1285,84.25,68,84,3.2,light rain,Kost Pria
189,Hamilton,US,39.1834,-84.5333,72.84,83,75,11.5,broken clouds,Six Acres Bed & Breakfast
190,Tandalti,SD,13.0167,31.8667,74.84,81,99,8.72,overcast clouds,منزل : الهادي محمد مساعد
191,Nouadhibou,MR,20.931,-17.0347,69.78,88,39,18.41,scattered clouds,El Medina
192,Camopi,GF,3.1655,-52.3158,71.38,99,36,2.3,scattered clouds,La pousada
193,Fort Nelson,CA,58.8053,-122.7002,65.79,59,75,4.61,broken clouds,The Fort Nelson Hotel
195,Port-Gentil,GA,-0.7193,8.7815,73.99,81,98,9.1,overcast clouds,Fengshui Residence
196,Hambantota,LK,6.1241,81.1185,84.54,84,20,4.61,few clouds,Bungalow 63
197,Mackenzie,CA,55.2999,-123.1698,79.02,44,0,4.61,clear sky,Hilton Shop
200,Koson,UZ,39.0375,65.585,75.52,20,0,14.05,clear sky,Hakimov Alisherning uyi
205,Alta Floresta,BR,-9.8756,-56.0861,69.28,51,1,3.67,clear sky,Floresta Amazonica Hotel
206,Salinopolis,BR,-0.6136,-47.3561,78.39,82,43,11.23,scattered clouds,Salinas Park Resort Maçarico AP101
209,Castelo Do Piaui,BR,-5.3222,-41.5525,71.64,51,14,2.59,few clouds,Nobre Hotel
211,Suluq,LY,31.6682,20.2521,75.07,75,0,5.66,clear sky,ورشة الحضيري لاكترونات وخدمات النت
212,Kupang,ID,-10.1667,123.5833,86.58,66,75,13.8,broken clouds,Hotel On The Rock by Prasanthi
213,Nuevitas,CU,21.5453,-77.2644,78.49,81,19,8.81,few clouds,Hotel Caonaba
214,Kalianget,ID,-7.05,113.9333,83.39,74,67,9.73,broken clouds,Pesanggrahan Garam
215,Point Pedro,LK,9.8167,80.2333,84.92,70,100,9.98,overcast clouds,Gtr homes
220,Sao Filipe,CV,14.8961,-24.4956,77.79,79,48,13.78,scattered clouds,Hotel Xaguate
221,Humaita,BR,-7.5061,-63.0208,74.66,63,6,1.28,clear sky,Corrêa Hotel
222,Kharan,PK,28.5833,65.4167,89.29,19,19,5.57,few clouds,Dil Aram Bangla
223,Muisne,EC,0.6,-80.0333,73.09,88,100,8.75,overcast clouds,Quinta Samay
224,Kainantu,PG,-6.2887,145.8655,67.91,83,100,3.58,overcast clouds,Sylvester buku
226,Krasnoselkup,RU,65.7,82.4667,60.08,48,100,8.68,overcast clouds,Krasnosel'kupnefteprodukt
227,Alofi,NU,-19.0595,-169.9187,80.49,78,68,9.22,broken clouds,Taloa Heights
228,Souillac,MU,-20.5167,57.5167,66.58,88,40,18.41,scattered clouds,Shanti Maurice Resort & Spa
229,Kalmar,SE,56.6616,16.3616,61.97,88,14,3.44,few clouds,First Hotel Witt
230,Dahegam,IN,23.1667,72.8167,83.97,79,87,15.19,overcast clouds,OYO 3231 Malhaar Resort
231,Coahuayana,MX,18.7333,-103.6833,78.03,91,100,2.46,overcast clouds,El rranchito michuacan de ocampos
232,Madang,PG,-5.2246,145.7966,75.96,96,100,5.55,overcast clouds,Comfort Inn Hotel
234,Hirara,JP,24.8,125.2833,85.86,84,75,6.91,broken clouds,Hotel Atoll Emerald Miyakojima
235,Georgetown,MY,5.4112,100.3354,87.89,82,20,14.97,few clouds,Cititel Penang
237,Samarai,PG,-10.6167,150.6667,77.7,89,98,20.54,overcast clouds,Nuli Sapi
238,Harindanga,IN,22.0383,88.3214,84.25,75,99,5.55,overcast clouds,Hasanur Builders
240,Maningrida,AU,-12.0667,134.2667,86.76,39,3,12.26,clear sky,Dhukurrdji Lodge
241,Lompoc,US,34.6391,-120.4579,66.34,86,0,10.36,clear sky,"Holiday Inn Express Lompoc, an IHG Hotel"
242,Manokwari,ID,-0.8667,134.0833,83.01,72,48,5.14,scattered clouds,Swiss Belhotel Manokwari
243,Boysun,UZ,38.2061,67.1986,79.27,23,0,4.83,clear sky,Gaza Hotel
244,Garoua Boulai,CM,5.8833,14.55,64.69,98,100,5.19,overcast clouds,Motel l'as Vegas
248,Venustiano Carranza,MX,19.43,-99.0992,67.14,58,100,15.01,overcast clouds,We Hotel Aeropuerto
249,Bubaque,GW,11.2833,-15.8333,79.25,83,99,15.88,light rain,"Casa Dora, Bubaque"
